id,mental_time,pointing_time,typing_time,date
0,,0.1585188,,21/02/2021 00:05:41
0,0.5153669,,,21/02/2021 00:05:41
0,,0.1684028,,21/02/2021 00:05:42
0,2.487583,,,21/02/2021 00:05:45
0,0.5395958,,,21/02/2021 00:05:46
0,,0.1343077,,21/02/2021 00:05:46
0,,0.1168255,,21/02/2021 00:05:47
0,,0.1686963,,21/02/2021 00:05:48
0,,0.6663617,,21/02/2021 00:05:50
1,0.9602402,,,21/02/2021 00:05:55
1,,0.5076616,,21/02/2021 00:05:56
1,,0.1601836,,21/02/2021 00:05:58
1,,0.82071,,21/02/2021 00:06:00
1,1.856291,,,21/02/2021 00:06:49
1,,1.009342,,21/02/2021 00:06:51
1,0.6206359,,,21/02/2021 00:06:53
1,1.008424,,,21/02/2021 00:06:55
1,0.2965733,,,21/02/2021 00:06:58
1,,0.3923679,,21/02/2021 00:06:58
1,,1.632315,,21/02/2021 00:07:00
2,0.9754083,,,21/02/2021 00:07:03
2,,0.5170102,,21/02/2021 00:07:04
2,,0.4485459,,21/02/2021 00:07:05
2,,0.1855517,,21/02/2021 00:07:06
2,10.51627,,,21/02/2021 00:07:22
2,,0.3682309,,21/02/2021 00:07:23
2,,0.06057375,,21/02/2021 00:07:24
2,0.5142215,,,21/02/2021 00:07:51
2,,2.599997,,21/02/2021 00:07:54
2,,1.00312,,21/02/2021 00:07:58
2,,1.358908,,21/02/2021 00:09:52
2,,0.5222555,,21/02/2021 00:09:54
5,,,1.59418,21/02/2021 15:45:41
5,0.3285665,,,21/02/2021 15:45:41
5,,0.3121612,,21/02/2021 15:45:41
5,,0.08641602,,21/02/2021 15:45:43
5,,0.2933574,,21/02/2021 15:45:44
5,0.4879331,,,21/02/2021 15:45:44
5,,0.7104653,,21/02/2021 15:45:45
5,,,,21/02/2021 15:45:45
5,4.604426,,,21/02/2021 15:46:17
5,,1.050414,,21/02/2021 15:46:18
5,2.092417,,,21/02/2021 15:46:20
5,,0.6545553,,21/02/2021 15:46:21
5,,0.6359394,,21/02/2021 15:46:22
6,,,1.920629,21/02/2021 15:47:23
6,0.6001743,,,21/02/2021 15:47:23
6,,0.6249029,,21/02/2021 15:47:24
6,0.6114389,,,21/02/2021 15:47:25
6,,0.1770557,,21/02/2021 15:47:25
6,,0.03998529,,21/02/2021 15:47:26
6,,0.4354333,,21/02/2021 15:47:26
6,,0.05451022,,21/02/2021 15:47:27
6,,0.304392,,21/02/2021 15:47:27
6,,0.19373,,21/02/2021 15:47:28
6,,0.3910639,,21/02/2021 15:47:28
6,2.572153,,,21/02/2021 15:47:57
6,,0.3453293,,21/02/2021 15:47:58
6,0.07274976,,,21/02/2021 15:47:58
6,,0.007526473,,21/02/2021 15:47:58
6,,0.2488471,,21/02/2021 15:47:59
6,,1.39813,,21/02/2021 15:48:01
7,,,1.357863,21/02/2021 15:49:08
7,0.7476013,,,21/02/2021 15:49:09
7,,0.186584,,21/02/2021 15:49:09
7,0.2917354,,,21/02/2021 15:49:11
7,,0.1654574,,21/02/2021 15:49:11
7,,0.2713289,,21/02/2021 15:49:12
7,,0.3414563,,21/02/2021 15:49:12
7,,0.01772636,,21/02/2021 15:49:12
7,,0.03847488,,21/02/2021 15:49:13
7,2.560149,,,21/02/2021 15:49:42
7,0.3245384,,,21/02/2021 15:49:43
7,,0.1891776,,21/02/2021 15:49:43
7,,0.5776246,,21/02/2021 15:49:44
8,,,3.132004,21/02/2021 15:51:07
8,0.5232933,,,21/02/2021 15:51:07
8,,0.2141066,,21/02/2021 15:51:08
8,,0.1460143,,21/02/2021 15:51:08
8,,0.1110451,,21/02/2021 15:51:08
8,0.7274446,,,21/02/2021 15:51:14
8,,0.8651021,,21/02/2021 15:51:15
8,7.50412,,,21/02/2021 15:51:49
8,,0.1286316,,21/02/2021 15:51:50
8,0.487481,,,21/02/2021 15:51:50
8,,0.09200776,,21/02/2021 15:51:51
8,,0.08511057,,21/02/2021 15:51:51
8,,0.3252034,,21/02/2021 15:51:52
2,0.2279864,,,21/02/2021 15:53:08
2,,0.4134013,,21/02/2021 15:53:08
2,,0.467932,,21/02/2021 15:53:09
2,,0.2703356,,21/02/2021 15:53:12
2,14.12824,,,21/02/2021 15:53:37
2,,,,21/02/2021 15:53:37
2,,1.268978,,21/02/2021 15:53:38
2,,0.9647447,,21/02/2021 15:53:39
2,0.3160369,,,21/02/2021 15:53:40
2,,0.2140754,,21/02/2021 15:53:41
2,,0.5225617,,21/02/2021 15:53:42
2,0.528204,,,21/02/2021 15:55:03
2,0.3920046,,,21/02/2021 15:55:12
2,,0.1600541,,21/02/2021 15:55:13
2,,0.1537078,,21/02/2021 15:55:13
2,,0.09770695,,21/02/2021 15:55:30
2,,0.2604614,,21/02/2021 15:55:31
2,,0.3556869,,21/02/2021 15:55:32
2,0.3797899,,,21/02/2021 15:55:32
2,,0.3651002,,21/02/2021 15:55:33
2,,0.04285968,,21/02/2021 15:55:37
2,0.9325585,,,21/02/2021 15:55:39
2,,0.2378555,,21/02/2021 15:55:40
2,,0.01451816,,21/02/2021 15:55:40
2,,0.4151727,,21/02/2021 15:55:40
2,,0.03937523,,21/02/2021 15:55:41
2,,0.06497278,,21/02/2021 15:55:43
2,,0.1508466,,21/02/2021 15:55:43
2,0.06886941,,,21/02/2021 15:55:44
2,,,,21/02/2021 15:55:44
2,,0.3114897,,21/02/2021 15:55:44
2,,0.3630884,,21/02/2021 15:55:45
2,,0.1844702,,21/02/2021 15:55:45
2,,0.3750791,,21/02/2021 15:55:46
2,,0.09249264,,21/02/2021 15:55:47
2,1.135364,,,21/02/2021 15:55:59
2,1.192304,,,21/02/2021 15:56:09
2,,0.4552058,,21/02/2021 15:56:10
2,,0.1817368,,21/02/2021 15:56:14
2,0.323755,,,21/02/2021 15:56:23
2,0.3553587,,,21/02/2021 15:56:24
2,0.05990248,,,21/02/2021 15:56:25
2,,,,21/02/2021 15:56:26
2,,0.2934178,,21/02/2021 15:56:29
2,0.2803424,,,21/02/2021 15:56:32
2,,0.2476729,,21/02/2021 15:56:33
2,,0.09857208,,21/02/2021 15:56:34
2,,,,21/02/2021 15:56:37
5,0.7444764,,,21/02/2021 15:56:45
5,,0.3041054,,21/02/2021 15:56:45
5,11.0563,,,21/02/2021 15:57:21
5,,0.6219823,,21/02/2021 15:57:22
5,4.489192,,,21/02/2021 15:57:46
5,,0.4590772,,21/02/2021 15:57:47
5,,0.2263552,,21/02/2021 15:57:50
5,,0.02808191,,21/02/2021 15:57:51
5,3.424232,,,21/02/2021 15:58:19
5,,0.2922145,,21/02/2021 15:58:20
5,,0.422067,,21/02/2021 15:58:20
5,3.667584,,,21/02/2021 15:58:45
5,,0.0135664,,21/02/2021 15:58:45
5,3.124146,,,21/02/2021 15:59:09
5,,0.05920965,,21/02/2021 15:59:10
5,,0.1514629,,21/02/2021 15:59:10
5,,0.001882356,,21/02/2021 15:59:10
5,,0.1958088,,21/02/2021 15:59:11
5,,0.2898856,,21/02/2021 15:59:11
5,0.3914461,,,21/02/2021 15:59:12
5,,0.8213664,,21/02/2021 15:59:13
5,,0.6655239,,21/02/2021 15:59:14
2,0.420341,,,21/02/2021 20:46:46
2,,0.4941532,,21/02/2021 20:46:47
2,,1.748146,,21/02/2021 20:46:49
2,,0.04324464,,21/02/2021 20:46:50
2,1.292184,,,21/02/2021 20:47:39
2,0.2124146,,,21/02/2021 20:47:40
2,,0.7785909,,21/02/2021 20:47:41
0,0.08734321,,,21/02/2021 20:48:34
0,,0.05483419,,21/02/2021 20:48:35
0,,0.2388173,,21/02/2021 20:48:35
0,,0.1294205,,21/02/2021 20:48:36
0,2.283708,,,21/02/2021 20:49:04
0,,0.08193772,,21/02/2021 20:49:05
0,,0.1289084,,21/02/2021 20:49:05
0,2.148104,,,21/02/2021 20:49:08
0,,0.2523153,,21/02/2021 20:49:08
0,,0.227979,,21/02/2021 20:49:09
0,,0.2549226,,21/02/2021 20:49:09
0,1.196927,,,21/02/2021 20:49:11
0,0.08946013,,,21/02/2021 20:49:11
